Bandwidth_R_100_W_0_128k,Latency_R_100_W_0_128k,Rbandwidth_R_50_W_0_128k,Rlatency_R_50_W_0_128k,Wbandwidth_R_50_W_0_128k,Wlatency_R_50_W_0_128k
4316,228.64,980,843.21,983,163.33
8423,234.86,1375,1271.17,1403,165.93
12.1,246.87,1780,1498.26,1784,172.28
14,265.83,2122,1702.1,2111,169.57
18.5,431.14,2454,1852.75,2455,170.47
,,2561,2155.98,2588,170.73
,,2710,2394.68,2702,174.53
,,2796,2675.04,2772,172.93
,,2841,2980.23,2798,175.14
,,2855,3302.36,2867,184.24
