Bandwidth_R_100_W_0_32k,Latency_R_100_W_0_32k,Rbandwidth_R_50_W_50_32k,Rlatency_R_50_W_50_32k,Wbandwidth_R_50_W_50_32k,Wlatency_R_50_W_50_32k
5.293,186.1,1.847,462.06,1.83,70.98
10.2,192.38,2.764,642.23,2.773,71.46
20.6,193.29,4.521,801.91,4.535,72.57
27.3,292.24,6.322,1179.47,6.354,74.57
28.3,564.81,8.644,1763.16,8.69,76.18
28.6,1119.13,9.183,3378.28,9.224,94.34
28.6,2238.85,9.398,5244.83,9.346,1555.7
28.6,4472.78,9.402,8589.23,9.488,4955.19
28.6,8934.22,9.563,15258.66,9.492,11537.29
